Date	ADBE	CAT	DELL	INTC	MU	NVDA	PG	TEAM	WM
2023-12-29	-0.04233329	0.17362830	-0.00245138	0.04335512	0.23622353	0.32545393	-0.11302629	0.43476065	-0.19748504
2024-01-02	-0.03552323	0.18144695	-0.01570835	0.03478468	0.22530736	0.33738817	-0.10490224	0.41789454	-0.18585303
2024-01-03	-0.03733815	0.17822961	-0.01128060	0.03540419	0.22872877	0.33544460	-0.10533104	0.41377242	-0.18603976
2024-01-04	-0.04035704	0.18317600	-0.01755140	0.02998562	0.23524759	0.36141110	-0.09446119	0.41714295	-0.18174748
2024-01-05	-0.05273385	0.18249276	-0.01466720	0.03387987	0.24498913	0.35829816	-0.09551418	0.41306586	-0.18191385
2024-01-08	-0.07904530	0.19315877	0.01131927	0.01903150	0.21849889	0.39760971	-0.09388830	0.39126046	-0.17942332
2024-01-09	-0.07759875	0.19683895	-0.00150814	0.01299988	0.20997407	0.40234491	-0.09459270	0.38963080	-0.17777051
2024-01-10	-0.07425831	0.20076499	-0.02753334	0.03370038	0.22053203	0.39120776	-0.10081673	0.32655257	-0.17822596
2024-01-11	-0.07359404	0.19876774	-0.02430933	0.04017017	0.22516272	0.38781686	-0.09894876	0.33193887	-0.17820467
2024-01-12	-0.06895726	0.20076432	-0.01702594	0.04956321	0.23340186	0.39166959	-0.09668363	0.34765799	-0.18481925
2024-01-16	-0.06983670	0.20089712	-0.03007612	0.05711996	0.23562194	0.39609188	-0.09907758	0.34866084	-0.18756166
2024-01-17	-0.05997888	0.19603432	-0.06255445	0.04242615	0.21952035	0.39564881	-0.09531936	0.35998584	-0.19065477
2024-01-18	-0.08690343	0.18875209	-0.06036138	0.04550424	0.21564092	0.38691982	-0.09846825	0.37382094	-0.19043122
2024-01-19	-0.07094238	0.18065339	0.02766248	0.02025161	0.17793328	0.36244466	-0.09066906	0.35872146	-0.16239968
2024-01-22	-0.05802862	0.18545831	0.06300899	0.02030053	0.15577363	0.36736575	-0.10908857	0.36574894	-0.16512071
2024-01-23	-0.07114145	0.19184402	0.08317929	0.03312326	0.14271801	0.37070059	-0.08841452	0.37135425	-0.16621857
2024-01-24	-0.06374647	0.19437463	0.08321924	0.02329558	0.13889760	0.37168583	-0.08890786	0.34865927	-0.16857658
2024-01-25	-0.08361724	0.17089662	0.09491268	0.02072200	0.14232701	0.36497314	-0.10021806	0.33110916	-0.17092231
2024-01-26	-0.08399107	0.16522084	0.11323255	-0.02792617	0.10920274	0.35869571	-0.09742747	0.33670181	-0.16830648
2024-01-29	-0.07547307	0.16837247	0.07819664	0.01792441	0.09401297	0.35326848	-0.08260459	0.32389155	-0.17481762
2024-01-30	-0.08200022	0.16061469	0.07674209	0.02681763	0.08590240	0.35825915	-0.08344403	0.32787359	-0.17173666
2024-01-31	-0.09198982	-0.01052968	0.08981382	0.10083561	0.16673592	0.42936664	-0.09676305	0.32398628	-0.17165852
2024-02-01	-0.08984819	-0.02266946	0.10475384	0.12319506	0.20501874	0.49095037	-0.09280369	0.43915766	-0.20164425
2024-02-02	-0.07804847	-0.01988638	0.12688673	0.14994450	0.19610079	0.49119055	-0.09648803	0.60131558	-0.19437309
2024-02-05	-0.16732558	0.06475054	0.13112418	0.11423871	0.17073559	0.56865491	-0.09525020	0.17552871	-0.20348199
2024-02-06	-0.24568552	0.06410919	0.07591625	0.14763055	0.11953258	0.53819485	-0.08143381	0.03930138	-0.19609551
2024-02-07	-0.24728931	0.05629418	0.09593112	0.14958822	0.11023707	0.51858613	-0.07019840	0.04860976	-0.19964665
2024-02-08	-0.17567731	0.03161640	0.08693741	0.09045982	0.06287399	0.30893870	-0.06094836	0.02932723	-0.15616597
2024-02-09	-0.18024433	0.05252509	0.08540735	0.08457517	0.07448568	0.29168745	-0.06686598	0.01262546	-0.15017845
2024-02-12	-0.19320336	0.06804362	0.12092836	0.16169394	0.06870867	0.29448803	-0.07386299	-0.03262399	-0.14753625
2024-02-13	-0.19725793	0.06567831	0.12513088	0.16143166	0.04445233	0.28006624	-0.07378700	-0.03215725	-0.12985839
2024-02-14	-0.20123058	0.06579919	0.13245537	0.16309866	0.05024202	0.27479080	-0.07414416	-0.02406648	-0.12752611
2024-02-15	-0.20936438	0.06913861	0.10787586	0.16547869	0.04781365	0.26649629	-0.06810097	-0.03493579	-0.12865056
2024-02-16	-0.10782297	0.05970713	0.06663081	0.15751966	0.06428640	0.24225838	-0.06372018	-0.01493957	-0.13948203
2024-02-20	-0.10892975	0.06458166	0.06840007	0.14902013	0.05748471	0.24721604	-0.06216536	-0.01473422	-0.13752072
2024-02-21	-0.10958832	0.06413500	0.06983375	0.14878609	0.05309396	0.24897195	-0.06221999	-0.01617034	-0.13770468
